"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ENIC","Enel Chile S.A.","5.05","$7.08B","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/enic",
"ENR","Energizer Holdings, Inc.","47.86","$2.87B","2015","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/enr",
"EPC","Energizer Holdings, Inc.","37.6","$2.03B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/epc",
"ET","Energy Transfer L.P.","15.11","$39.54B","1996","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/et",
"ETP^C","Energy Transfer Operating, L.P.","23.33","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/etp^c",
"ETP^D","Energy Transfer Operating, L.P.","24.05","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/etp^d",
"ERF","Enerplus Corporation","8.9","$2.14B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/erf",
"ENS","Enersys","79.63","$3.45B","2004","Consumer Non-Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/ens",
"EGL","Engility Holdings, Inc.","28.96","$1.07B","2015","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/egl",
"E","ENI S.p.A.","33.06","$60.07B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/e",
"ENLK","EnLink Midstream Partners, LP","13.8","$4.88B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/enlk",
"ENLC","EnLink Midstream, LLC","12.05","$2.19B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/enlc",
"EBF","Ennis, Inc.","20.57","$541.43M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/ebf",
"ENVA","Enova International, Inc.","21.68","$743.08M","2014","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/enva",
"NPO","EnPro Industries","62.61","$1.3B","n/a","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/npo",
"ESV","ENSCO plc","4.48","$1.96B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/esv",
"ETM","Entercom Communications Corp.","6.96","$991.97M","1999","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/etm",
"EAB","Entergy Arkansas, LLC","23.95","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eab",
"EAE","Entergy Arkansas, LLC","23.4","n/a","2013","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eae",
"EAI","Entergy Arkansas, LLC","23.36","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eai",
"ETR","Entergy Corporation","85.45","$16.06B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/etr",
"ELC","Entergy Louisiana, Inc.","23.95","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elc",
"ELJ","Entergy Louisiana, Inc.","24.74","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elj",
"ELU","Entergy Louisiana, Inc.","22.58","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elu",
"EMP","Entergy Mississippi, LLC","23.28","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/emp",
"ENJ","Entergy New Orleans, LLC","23.26","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/enj",
"ENO","Entergy New Orleans, LLC","25.33","n/a","2016","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/eno",
"EZT","Entergy Texas Inc","25.12","n/a","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ezt",
"EPD","Enterprise Products Partners L.P.","27.18","$59.32B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/epd",
"EVC","Entravision Communications Corporation","3.4","$302.11M","2000","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/evc",
"ENV","Envestnet, Inc","51.39","$2.47B","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/env",
"EVA","Enviva Partners, LP","29.71","$786.68M","2015","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/eva",
"ENZ","Enzo Biochem, Inc.","2.96","$139.69M","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/enz",
"EOG","EOG Resources, Inc.","99.19","$57.52B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","1.04","$267.19M","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/epe",
"EPAM","EPAM Systems, Inc.","128.51","$6.94B","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/epam",
"EPR","EPR Properties","67.5","$5.02B","1997","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/epr",
"EPR^C","EPR Properties","27.05","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^c",
"EPR^E","EPR Properties","35.05","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^e",
"EPR^G","EPR Properties","21.61","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^g",
"EQGP","EQGP Holdings, LP","20","$6.05B","2015","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/eqgp",
"EQM","EQM Midstream Partners, LP","45.4","$5.47B","2012","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/eqm",
"EQT","EQT Corporation","19.96","$5.09B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eqt",
"EFX","Equifax, Inc.","96","$11.58B","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/efx",
"EQNR","Equinor ASA","22.92","$76.28B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/eqnr",
"ETRN","Equitrans Midstream Corporation","21.3","$5.42B","2018","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/etrn",
"EQC","Equity Commonwealth","30.05","$3.65B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqc",
"EQC^D","Equity Commonwealth","25.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eqc^d",
"ELS","Equity Lifestyle Properties, Inc.","96.58","$8.67B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/els",
"EQR","Equity Residential","66.32","$24.43B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqr",
"EQS","Equus Total Return, Inc.","1.9505","$26.37M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eqs",
"ERA","Era Group, Inc.","10.04","$218.49M","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/era",
"EROS","Eros International PLC","9.17","$659.8M","2013","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/eros",
"ESE","ESCO Technologies Inc.","65.81","$1.71B","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/ese",
"ESNT","Essent Group Ltd.","36.53","$3.59B","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esnt",
"EPRT","Essential Properties Realty Trust, Inc.","14.19","$620.8M","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eprt",
"ESS","Essex Property Trust, Inc.","245.06","$16.19B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ess",
"EL","Estee Lauder Companies, Inc. (The)","127.83","$46.38B","1995","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/el",
"ESL","Esterline Technologies Corporation","120.77","$3.58B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/esl",
"ETH","Ethan Allen Interiors Inc.","18.73","$497.64M","1993","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/eth",
"EURN","Euronav NV","7.83","$1.71B","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/eurn",
"EEA","European Equity Fund, Inc. (The)","8.03","$63.55M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eea",
"EB","Eventbrite, Inc.","31.29","$2.45B","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/eb",
"EVR","Evercore Inc.","79.13","$3.2B","2006","Finance","Investment Managers","https://www.nasdaq.com/symbol/evr",
"RE","Everest Re Group, Ltd.","211.99","$8.62B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/re",
"EVRG","Evergy, Inc.","56.06","$14.77B","2018","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/evrg",
"EVRI","Everi Holdings Inc.","5.86","$411.33M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/evri",
"ES","Eversource Energy","64.75","$20.52B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/es",
"EVTC","Evertec, Inc.","28.85","$2.1B","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/evtc",
"EVH","Evolent Health, Inc","20.48","$1.68B","2015","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/evh",
"AQUA","Evoqua Water Technologies Corp.","9.94","$1.13B","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aqua",
"XAN","Exantas Capital Corp.","10.29","$325.79M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/xan",
